X250Y150,C,2014-08-05

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, condition (W&D), errorMargin
0,6.92045998573,350.0,50.0,361,50,1,0,19,600,2.0
1,8.88913011551,312.400029931,647.634410394,315,650,0,0,19,600,0
2,10.6243960857,424.606966149,59.4250516614,425,56,0,0,19,600,0
3,12.6477251053,239.562634195,628.932945766,334,204,1,0,19,600,426.300384169
4,14.5255980492,494.526102231,87.1079959868,495,94,0,0,19,600,0
5,19.9789390564,173.664424312,592.705098312,172,597,0,0,19,600,0
6,23.4938759804,555.364131779,131.309411774,565,136,1,0,19,600,1.71688267594
7,26.7954921722,118.846027167,541.227196925,554,132,1,0,19,600,588.349042667
8,29.9577732086,603.298377651,189.251961506,612,193,1,0,19,600,0.474493340636
9,33.5845952034,78.5518842602,477.73378747,128,472,1,0,19,600,40.7794382146
10,37.6697080135,635.316954889,257.294901688,636,255,0,0,19,600,0
11,43.6202611923,55.3138247814,406.214394376,65,409,1,1,19,600,1.07876922345
12,46.554320097,649.408018528,331.162844141,649,333,0,0,19,600,0
13,49.5998032093,50.5919814715,331.162844141,57,340,1,0,19,600,1.91595278178
14,53.2487339973,644.686175219,406.214394376,641,406,0,0,19,600,0
15,55.6466810703,64.6830451115,257.294901688,65,265,0,0,19,600,0
16,57.7685232162,621.44811574,477.73378747,617,474,0,0,19,600,0
17,59.9784200191,96.7016223494,189.251961506,78,193,1,0,19,600,10.0735018035
18,64.4588460922,581.153972833,541.227196925,583,539,0,0,19,600,0
19,66.7157511711,144.635868221,131.309411774,134,131,1,0,19,600,1.6403678728
20,68.6024971008,526.335575688,592.705098312,531,594,0,0,19,600,0
21,70.334138155,205.473897769,87.1079959868,530,592,1,0,19,600,591.194240847
22,73.1386680603,460.437365805,628.932945766,203,83,1,0,19,600,594.586595764
23,75.9953510761,275.393033851,59.4250516614,285,56,1,0,19,600,1.19925377075
24,78.275840044,387.599970069,647.634410394,291,51,1,0,19,600,595.403982353
25,82.0255811214,350.0,50.0,349,64,1,0,19,600,5.03566884762
