x300y250,A
,2014-07-30

Target#, time, targetX, targetY, clicked, keyPressed, condition (W&D), errorMargin
0,1.51458716393,350.0,150.0,1,0,133,400,62.5029182548
1,2.40260195732,324.933353287,548.422940263,0,0,133,400,0
2,3.0304069519,399.737977433,156.283367774,0,0,133,400,0
3,3.67640805244,276.375089463,535.955297178,0,0,133,400,0
4,4.24458408356,446.35073482,174.738663991,0,0,133,400,0
5,4.79175615311,232.442949542,511.803398875,0,0,133,400,0
6,5.31311511993,486.909421186,204.206274516,0,0,133,400,0
7,5.82064914703,195.897351445,477.48479795,0,0,133,400,0
8,6.34034395218,518.8655851,242.834641004,0,0,133,400,0
9,6.92117905617,169.034589507,435.155858313,0,0,133,400,0
10,7.44907307625,540.211303259,288.196601125,0,0,133,400,0
11,8.00540399551,153.542549854,387.476262917,0,0,133,400,0
12,8.47728300095,549.605345686,337.441896094,0,0,133,400,0
13,8.95052695274,150.394654314,337.441896094,0,0,133,400,0
14,9.3759059906,546.457450146,387.476262917,0,0,133,400,0
15,9.89524006844,159.788696741,288.196601125,0,0,133,400,0
16,11.194633007,530.965410493,435.155858313,1,0,133,400,0
17,11.8238601685,181.1344149,242.834641004,0,0,133,400,0.129284107202
18,13.0083200932,504.102648555,477.48479795,1,0,133,400,0
19,13.7866780758,213.090578814,204.206274516,0,0,133,400,0
20,14.4160981178,467.557050458,511.803398875,0,0,133,400,340.394875788
21,15.2290961742,253.64926518,174.738663991,0,0,133,400,17.9721131933
22,15.8830301762,423.624910537,535.955297178,0,0,133,400,0
23,16.6538760662,300.262022567,156.283367774,0,0,133,400,0
24,17.3549230099,375.066646713,548.422940263,0,0,133,400,0
25,18.096724987,350.0,150.0,0,0,133,400,0
