Data,A
,2014-07-29

Target#, time, targetX, targetY, clicked, keyPressed, condition (W&D), errorMargin
0,0.728184938431,350.0,150.0,1,0,133,400,6.71863585079
1,1.20833396912,324.933353287,548.422940263,1,0,133,400,0
2,1.43225002289,399.737977433,156.283367774,0,0,133,400,94.2575840494
3,1.69624400139,276.375089463,535.955297178,0,0,133,400,56.8370868471
4,2.00887084007,446.35073482,174.738663991,0,0,133,400,0
5,2.24883103371,232.442949542,511.803398875,0,0,133,400,0
6,2.54441094398,486.909421186,204.206274516,1,0,133,400,0
7,2.81638884544,195.897351445,477.48479795,0,0,133,400,0
8,3.12111592293,518.8655851,242.834641004,0,0,133,400,0
9,3.44096398354,169.034589507,435.155858313,0,0,133,400,2.6825832508
10,3.77651190758,540.211303259,288.196601125,0,0,133,400,0
11,4.06466603279,153.542549854,387.476262917,0,0,133,400,0
12,4.656457901,549.605345686,337.441896094,1,0,133,400,0
13,4.9688680172,150.394654314,337.441896094,0,0,133,400,0
14,5.3123998642,546.457450146,387.476262917,0,0,133,400,0
15,6.29604291916,159.788696741,288.196601125,1,0,133,400,0
16,6.55214190483,530.965410493,435.155858313,0,0,133,400,13.7934389506
17,7.30445289612,181.1344149,242.834641004,1,0,133,400,0
18,7.84037303925,504.102648555,477.48479795,1,0,133,400,0
19,8.3930888176,213.090578814,204.206274516,1,0,133,400,0
20,8.6408598423,467.557050458,511.803398875,0,0,133,400,7.22108152123
21,9.20053792,253.64926518,174.738663991,1,0,133,400,7.1696148915
22,9.73685097694,423.624910537,535.955297178,0,0,133,400,0
23,10.2324080467,300.262022567,156.283367774,0,0,133,400,0
24,10.6728549004,375.066646713,548.422940263,0,0,133,400,27.2449339329
25,11.0486488342,350.0,150.0,0,0,133,400,32.0822046128
