filename, meanMT, stdMT, meanDistance, stdDistance, errorRate,outlierRate, IDe, meanWidth, meanDist, ID, width, distance,TP 
FLT/P5/Trackpad/P5T2/P5T2trackpadC,1.3501,1.8431,394.3068,3.0919,0.1818,0.0000,6.1630,5.5808,394.3068,4.9896,13.0000,400.0000,4.5648
FLT/P5/Trackpad/P5T2/P5T2trackpadA,0.6358,1.3169,390.6241,9.4128,0.0000,0.0000,4.2491,21.6824,390.6241,3.0032,57.0000,400.0000,6.6829
FLT/P5/Trackpad/P5T6/P5T6trackpadC,0.8999,1.6549,394.1888,1.9040,0.0909,0.0000,6.1236,5.7356,394.1888,4.9896,13.0000,400.0000,6.8048
FLT/P5/Trackpad/P5T6/P5T6trackpadB,0.6443,1.2561,391.9187,4.2813,0.0000,0.0000,4.9910,12.7245,391.9187,3.9832,27.0000,400.0000,7.7467
FLT/P5/Trackpad/P5T6/P5T6trackpadA,0.5581,1.1552,389.8772,8.2955,0.0000,0.0000,4.3999,19.3872,389.8772,3.0032,57.0000,400.0000,7.8838
FLT/P5/Trackpad/P5T7/P5T7trackpadA,0.6108,1.2924,391.6822,7.7683,0.0000,0.0000,4.6163,16.6476,391.6822,3.0032,57.0000,400.0000,7.5576
FLT/P5/Trackpad/P5T7/P5T7trackpadB,0.7087,1.3145,394.0822,2.5731,0.0000,0.0000,5.6787,7.8470,394.0822,3.9832,27.0000,400.0000,8.0125
FLT/P5/Trackpad/P5T7/P5T7trackpadC,0.9181,1.6073,394.1978,3.9471,0.2727,0.0000,6.1081,5.7987,394.1978,4.9896,13.0000,400.0000,6.6528
FLT/P5/Trackpad/P5T3/P5T3trackpadA,0.6167,1.1869,389.8733,8.1137,0.0000,0.0000,4.0363,25.3039,389.8733,3.0032,57.0000,400.0000,6.5447
FLT/P5/Trackpad/P5T3/P5T3trackpadB,0.7490,1.4122,393.3663,3.4489,0.0000,0.0000,5.1602,11.3174,393.3663,3.9832,27.0000,400.0000,6.8894
FLT/P5/Trackpad/P5T3/P5T3trackpadC,0.9506,1.8564,395.3528,2.4008,0.0909,0.0000,6.5537,4.2537,395.3528,4.9896,13.0000,400.0000,6.8943
FLT/P5/Trackpad/P5T1/P5T1trackpadB,0.6069,1.3331,394.6830,6.1692,0.0909,0.0000,4.9839,12.8792,394.6830,3.9832,27.0000,400.0000,8.2121
FLT/P5/Trackpad/P5T1/P5T1trackpadA,0.7525,1.5843,399.1397,8.7160,0.0000,0.0000,3.8778,29.1332,399.1397,3.0032,57.0000,400.0000,5.1535
FLT/P5/Trackpad/P5T1/P5T1trackpadC,1.5828,2.2957,393.7284,2.8263,0.1818,0.0000,6.7633,3.6581,393.7284,4.9896,13.0000,400.0000,4.2731
FLT/P32/fingers/P32F8/P32F8fingersA,2.6561,4.6117,360.0846,100.1668,0.1818,0.0000,3.9236,25.4037,360.0846,3.0032,57.0000,400.0000,1.4772
FLT/P32/fingers/P32F8/P32F8fingersB,3.6041,6.4842,331.7168,94.1721,0.3636,0.0000,4.7454,12.8457,331.7168,3.9832,27.0000,400.0000,1.3167
FLT/P32/fingers/P32F8/P32F8fingersC,2.3473,3.3667,230.2993,131.2726,0.4545,0.0000,6.4703,2.6270,230.2993,4.9896,13.0000,400.0000,2.7565
FLT/P32/fingers/P32F4/P32F4fingersA,0.7884,2.1411,396.3335,10.7546,0.0000,0.0000,4.4404,19.1363,396.3335,3.0032,57.0000,400.0000,5.6324
FLT/P32/fingers/P32F4/P32F4fingersB,1.9587,3.5202,325.3823,121.0593,0.1818,0.0000,4.8941,11.3237,325.3823,3.9832,27.0000,400.0000,2.4987
FLT/P32/fingers/P32F4/P32F4fingersC,4.2380,6.1847,285.2876,131.1212,0.4545,0.0000,6.4450,3.3126,285.2876,4.9896,13.0000,400.0000,1.5208
FLT/P32/fingers/P32F5/P32F5fingersB,1.0761,2.4718,318.3516,127.2503,0.2727,0.0000,4.4527,15.2338,318.3516,3.9832,27.0000,400.0000,4.1377
FLT/P32/fingers/P32F5/P32F5fingersA,1.2718,2.6422,359.8787,89.6774,0.0909,0.0000,4.1615,21.3005,359.8787,3.0032,57.0000,400.0000,3.2721
FLT/P32/fingers/P32F5/P32F5fingersC,3.2560,4.5581,315.7085,125.2426,0.2727,0.0000,5.5278,6.9946,315.7085,4.9896,13.0000,400.0000,1.6977
FLT/P32/fingers/P32F1/P32F1fingersB,1.9884,4.5904,392.2989,6.0962,0.1818,0.0000,5.5799,8.3767,392.2989,3.9832,27.0000,400.0000,2.8062
FLT/P32/fingers/P32F1/P32F1fingersA,1.5748,3.8256,361.0295,85.8901,0.0909,0.0000,4.0213,23.6921,361.0295,3.0032,57.0000,400.0000,2.5536
FLT/P32/fingers/P32F1/P32F1fingersC,4.1892,9.6405,398.3614,6.3104,0.4545,0.0000,6.1880,5.5398,398.3614,4.9896,13.0000,400.0000,1.4772
FLT/P32/fingers/P32F7/P32F7fingersA,2.5976,4.6290,308.9799,132.6852,0.2727,0.0000,3.8384,23.2242,308.9799,3.0032,57.0000,400.0000,1.4776
FLT/P32/fingers/P32F7/P32F7fingersB,2.0316,3.5031,298.8811,112.7924,0.5455,0.0000,4.7747,11.3325,298.8811,3.9832,27.0000,400.0000,2.3502
FLT/P32/fingers/P32F7/P32F7fingersC,4.8293,5.7041,203.8695,110.1290,0.4545,0.0000,5.2165,5.6345,203.8695,4.9896,13.0000,400.0000,1.0802
FLT/P32/fingers/P32F6/P32F6fingersB,2.7374,4.9311,325.4342,122.5784,0.1818,0.0000,5.0988,9.7823,325.4342,3.9832,27.0000,400.0000,1.8626
FLT/P32/fingers/P32F6/P32F6fingersA,2.2613,5.4424,359.1460,89.0540,0.0909,0.0000,3.9845,24.2194,359.1460,3.0032,57.0000,400.0000,1.7620
FLT/P32/fingers/P32F6/P32F6fingersC,2.9815,6.5008,243.2181,149.7859,0.6364,0.0000,5.6189,5.0522,243.2181,4.9896,13.0000,400.0000,1.8846
FLT/P32/fingers/P32F3/P32F3fingersA,1.2150,3.0224,358.2811,85.1433,0.0909,0.0000,4.5969,15.4438,358.2811,3.0032,57.0000,400.0000,3.7834
FLT/P32/fingers/P32F3/P32F3fingersC,3.2070,5.2914,508.1133,169.7613,0.5455,0.0000,6.0449,7.8146,508.1133,5.5593,13.0000,600.0000,1.8849
FLT/P32/fingers/P32F3/P32F3fingersB,1.4610,2.8811,391.6802,5.7423,0.0909,0.0000,5.3169,10.0790,391.6802,3.9832,27.0000,400.0000,3.6392
FLT/P32/fingers/P32F2/P32F2fingersA,1.2725,3.6355,395.4238,9.8548,0.0000,0.0000,4.0981,24.5208,395.4238,3.0032,57.0000,400.0000,3.2206
FLT/P32/fingers/P32F2/P32F2fingersC,3.1256,6.6919,394.4192,3.0938,0.2727,0.0000,6.5934,4.1272,394.4192,4.9896,13.0000,400.0000,2.1095
FLT/P32/fingers/P32F2/P32F2fingersB,1.5119,3.6297,357.0162,96.2747,0.2727,0.0000,4.8459,12.8618,357.0162,3.9832,27.0000,400.0000,3.2052
FLT/P32/trackpad/P32T4/P32T4trackpadB,0.7461,1.5870,395.4718,4.0339,0.0000,0.0000,5.6140,8.2433,395.4718,3.9832,27.0000,400.0000,7.5245
FLT/P32/trackpad/P32T4/P32T4trackpadA,0.7494,1.5551,390.4195,11.1802,0.0000,0.0000,4.0251,25.5489,390.4195,3.0032,57.0000,400.0000,5.3714
FLT/P32/trackpad/P32T4/P32T4trackpadC,1.0381,1.6656,395.6949,2.4545,0.0000,0.0000,6.2635,5.2187,395.6949,4.9896,13.0000,400.0000,6.0336
FLT/P32/trackpad/P32T3/P32T3trackpadA,0.6973,1.8103,388.7343,11.7529,0.0000,0.0000,3.7138,32.0703,388.7343,3.0032,57.0000,400.0000,5.3262
FLT/P32/trackpad/P32T3/P32T3trackpadB,0.7784,1.7826,399.9697,3.5389,0.0000,0.0000,5.9336,6.6527,399.9697,3.9832,27.0000,400.0000,7.6232
FLT/P32/trackpad/P32T3/P32T3trackpadC,1.1082,1.7050,394.8319,2.7062,0.0909,0.0000,6.0134,6.2083,394.8319,4.9896,13.0000,400.0000,5.4263
FLT/P32/trackpad/P32T7/P32T7trackpadB,0.7060,1.4842,396.8953,5.0331,0.0000,0.0000,5.3832,9.7430,396.8953,3.9832,27.0000,400.0000,7.6250
FLT/P32/trackpad/P32T7/P32T7trackpadC,0.9788,1.8575,394.3992,3.0073,0.0909,0.0000,6.1142,5.7769,394.3992,4.9896,13.0000,400.0000,6.2466
FLT/P32/trackpad/P32T7/P32T7trackpadA,0.6504,1.4972,390.2069,9.1249,0.0000,0.0000,3.8984,28.0476,390.2069,3.0032,57.0000,400.0000,5.9942
FLT/P32/trackpad/P32T2/P32T2trackpadA,0.6899,1.7372,393.7008,6.5153,0.0000,0.0000,4.7369,15.3402,393.7008,3.0032,57.0000,400.0000,6.8659
FLT/P32/trackpad/P32T2/P32T2trackpadB,0.5958,1.5008,396.8875,5.8367,0.0909,0.0000,5.2612,10.6261,396.8875,3.9832,27.0000,400.0000,8.8304
FLT/P32/trackpad/P32T2/P32T2trackpadC,0.9718,1.9768,395.9883,2.8904,0.0000,0.0000,5.8665,6.9056,395.9883,4.9896,13.0000,400.0000,6.0366
FLT/P32/trackpad/P32T5/P32T5trackpadC,0.8858,1.8283,594.4495,2.9802,0.1818,0.0000,7.4050,3.5282,594.4495,5.5593,13.0000,600.0000,8.3599
FLT/P32/trackpad/P32T5/P32T5trackpadA,0.7730,1.3844,391.2553,7.3438,0.0000,0.0000,4.0586,24.9790,391.2553,3.0032,57.0000,400.0000,5.2505
FLT/P32/trackpad/P32T5/P32T5trackpadB,0.9166,2.0968,395.2057,3.8866,0.0000,0.0000,4.8451,14.2452,395.2057,3.9832,27.0000,400.0000,5.2858
FLT/P32/trackpad/P32T8/P32T8trackpadC,0.9120,1.8266,395.5524,3.1469,0.0000,0.0000,5.9494,6.5064,395.5524,4.9896,13.0000,400.0000,6.5235
FLT/P32/trackpad/P32T8/P32T8trackpadB,0.7534,1.6874,397.6128,4.6058,0.0000,0.0000,5.6279,8.2068,397.6128,3.9832,27.0000,400.0000,7.4703
