filename, meanMT, stdMT, meanDistance, stdDistance, errorRate,outlierRate, IDe, meanWidth, meanDist, ID, width, distance,TP 
P32-data/Mouse/P32M1/P32M1mouseB,0.7360,0.1281,403.5256,7.7092,0.1600,0.0400,5.0017,13.0009,403.5256,3.9832,27.0000,400.0000,6.7957
P32-data/Mouse/P32M1/P32M1mouseA,0.5694,0.1153,406.3429,10.4106,0.0400,0.0000,3.9899,27.2918,406.3429,3.0032,57.0000,400.0000,7.0073
P32-data/Mouse/P32M1/P32M1mouseC,1.3643,0.6165,597.3730,2.9166,0.0800,0.0000,6.5254,6.5560,597.3730,5.5593,13.0000,600.0000,4.7828
P32-data/Mouse/P32M3/P32M3mouseA,0.7129,0.6402,404.1955,16.4831,0.0800,0.0000,4.0046,26.8557,404.1955,3.0032,57.0000,400.0000,5.6170
P32-data/Mouse/P32M3/P32M3mouseC,1.2452,0.3916,398.7336,2.7581,0.1600,0.0000,6.0485,6.1164,398.7336,4.9896,13.0000,400.0000,4.8574
P32-data/Mouse/P32M3/P32M3mouseB,0.8713,0.2189,400.1250,6.5063,0.0800,0.0000,5.2566,10.7473,400.1250,3.9832,27.0000,400.0000,6.0330
P32-data/Mouse/P32M2/P32M2mouseA,0.5268,0.1061,407.6091,14.2111,0.0800,0.0000,3.7867,31.8418,407.6091,3.0032,57.0000,400.0000,7.1881
P32-data/Mouse/P32M2/P32M2mouseC,1.1699,0.8112,397.9283,3.8113,0.1200,0.0400,6.0444,6.1218,397.9283,4.9896,13.0000,400.0000,5.1666
P32-data/Mouse/P32M2/P32M2mouseB,0.7752,0.2424,399.8208,6.9147,0.0400,0.0400,5.2722,10.6206,399.8208,3.9832,27.0000,400.0000,6.8011
P32-data/FR/P32FR3/P32FR3fingersB,1.6178,0.4061,399.6074,5.1432,0.0400,0.0000,4.7874,15.0145,399.6074,3.9832,27.0000,400.0000,2.9592
P32-data/FR/P32FR3/P32FR3fingersA,1.3444,0.9141,402.0613,12.1669,0.0400,0.0400,3.9797,27.2099,402.0613,3.0032,57.0000,400.0000,2.9602
P32-data/FR/P32FR3/P32FR3fingersC,3.4156,1.0811,586.8090,44.1507,0.2400,0.0400,6.7777,5.3975,586.8090,5.5593,13.0000,600.0000,1.9843
P32-data/FR/P32FR2/P32FR2fingersA,1.1865,0.3663,403.5848,12.4022,0.0800,0.0000,3.9906,27.0934,403.5848,3.0032,57.0000,400.0000,3.3634
P32-data/FR/P32FR2/P32FR2fingersB,1.4052,0.3013,397.4647,6.4768,0.0800,0.0000,5.1407,11.5956,397.4647,3.9832,27.0000,400.0000,3.6584
P32-data/FR/P32FR2/P32FR2fingersC,3.0651,1.2709,344.0352,127.0688,0.2000,0.0000,6.2365,4.6242,344.0352,4.9896,13.0000,400.0000,2.0347
P32-data/FR/P32FR11/P32FR12ndTimeC,3.5073,1.9519,571.9867,110.6688,0.1600,0.0800,6.7724,5.2807,571.9867,5.5593,13.0000,600.0000,1.9309
