Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe
/11p31,3.6014,3.3144,-0.0841,0.3017,0.1867,0.0133,1.4454,5.1547 
/P34M1,5.2263,6.3661,0.2186,0.1571,0.0667,0.0133,0.9980,5.0481 
/P34FR2,3.9864,9.3119,0.6522,0.1074,0.3067,0.0133,1.3761,4.8937 
/P31FR2,3.1610,1.9493,-0.8718,0.5130,0.2533,0.0267,1.4285,4.4694 
/P101FR1,2.8393,2.0879,-0.6442,0.4790,0.1867,0.0533,2.0560,5.6584 
/P32M2,5.4901,4.1056,-0.1187,0.2436,0.0800,0.0133,1.0638,4.9372 
/11p43,4.9025,2.7365,-0.7988,0.3654,0.1600,0.0533,1.2257,5.4512 
/P31M1,6.2636,41.8309,0.7440,0.0239,0.0800,0.0000,0.8727,5.2885 
/P31T3,5.2876,1.9379,-1.4838,0.5160,0.0933,0.0000,1.1184,5.0603 
/P34FR1,3.6980,2.9462,-0.2922,0.3394,0.1333,0.0133,1.2345,4.4886 
/11p42,2.8793,1.4577,-1.6848,0.6860,0.2933,0.0133,2.3945,5.3098 
/P33FR3,3.7169,1.7366,-1.6541,0.5758,0.2133,0.0133,1.5075,5.4910 
Steven-data/Mouse,5.8891,14.1319,0.4920,0.0708,0.0933,0.0133,0.8439,4.7348 
Steven-data/Fingers/StevenX300Y350jl,5.2550,2.4509,-0.7125,0.4080,0.0933,0.0267,0.9525,4.0614 
Steven-data/Fingers/StevenX250Y350jl,4.1944,4.1951,-0.0029,0.2384,0.1067,0.0000,1.0486,4.3818 
Steven-data/Fingers/StevenX250Y200jl,3.7968,3.1365,-0.2446,0.3188,0.1867,0.0267,1.2460,4.6766 
Steven-data/Fingers/StevenX350Y150jl,3.8674,2.5086,-0.4971,0.3986,0.1467,0.0400,1.0904,3.9759 
Steven-data/Fingers/StevenX300Y150jl,4.0150,1.5143,-1.8599,0.6604,0.0267,0.0267,1.3326,4.8309 
Steven-data/Fingers/StevenX350Y200jl,3.6115,2.0291,-0.7439,0.4928,0.1067,0.0267,1.2242,3.9932 
Steven-data/Fingers/StevenX250Y150jl,3.7096,3.5092,-0.0575,0.2850,0.1067,0.0000,1.1761,4.3300 
Steven-data/Fingers/StevenX350Y350jl,4.2926,3.8207,-0.1165,0.2617,0.1067,0.0400,1.1305,4.7524 
Steven-data/Fingers/StevenX350Y250jl,3.9356,2.7694,-0.4282,0.3611,0.0533,0.0133,1.1845,4.4658 
Steven-data/Fingers/StevenX250Y300jl,4.0021,3.1070,-0.2577,0.3219,0.1600,0.0133,1.0406,4.0345 
Steven-data/Fingers/StevenX300Y300jl,4.4046,5.3978,0.2086,0.1853,0.1333,0.0133,1.0844,4.7406 
Steven-data/Fingers/StevenX300Y250jl,4.7694,4.4279,-0.0502,0.2258,0.0533,0.0000,0.6965,3.3039 
Steven-data/Fingers/StevenX250Y250jl,4.5886,4.7803,0.0306,0.2092,0.1867,0.0267,0.9627,4.4240 
