asdf,C,2014-08-06

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, condition (W&D), errorMargin
0,0.961521863937,350.0,50.0,344,49,0,0,19,600,0
1,2.23345398903,312.400029931,647.634410394,311,647,0,0,19,600,0
2,3.82426404953,424.606966149,59.4250516614,431,59,0,0,19,600,0
3,5.47815704346,239.562634195,628.932945766,239,626,0,0,19,600,0
4,6.85788798332,494.526102231,87.1079959868,491,92,0,0,19,600,0
5,8.27234196663,173.664424312,592.705098312,176,599,0,0,19,600,0
6,9.77232694626,555.364131779,131.309411774,554,136,0,0,19,600,0
7,11.2379639149,118.846027167,541.227196925,119,543,0,0,19,600,0
8,12.5849640369,603.298377651,189.251961506,605,187,0,0,19,600,0
9,14.7341859341,78.5518842602,477.73378747,88,479,1,0,19,600,0.532585441794
10,16.3610239029,635.316954889,257.294901688,636,260,0,0,19,600,0
11,17.9602208138,55.3138247814,406.214394376,58,407,0,0,19,600,0
12,19.3200769424,649.408018528,331.162844141,649,332,0,0,19,600,0
13,20.8696238995,50.5919814715,331.162844141,48,335,0,0,19,600,0
14,22.6022479534,644.686175219,406.214394376,653,408,0,0,19,600,0
15,24.0921368599,64.6830451115,257.294901688,61,264,0,0,19,600,0
16,25.4298448563,621.44811574,477.73378747,622,479,0,0,19,600,0
17,26.6958549023,96.7016223494,189.251961506,95,187,0,0,19,600,0
18,28.0620779991,581.153972833,541.227196925,578,540,0,0,19,600,0
19,29.3611838818,144.635868221,131.309411774,137,136,0,0,19,600,0
20,30.7724189758,526.335575688,592.705098312,526,590,0,0,19,600,0
21,32.0587518215,205.473897769,87.1079959868,198,90,0,0,19,600,0
22,33.4037458897,460.437365805,628.932945766,464,624,0,0,19,600,0
23,34.7015068531,275.393033851,59.4250516614,273,58,0,0,19,600,0
24,36.0110518932,387.599970069,647.634410394,392,642,0,0,19,600,0
25,37.4019980431,350.0,50.0,349,47,0,0,19,600,0
