p10t6,A,2015-03-30

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime, Word
0,0.955,350.000,150.000,348.000,150.000,0,0,57,400,0.000,0.000,1.078,0.767,yahoo
1,2.329,293.653,541.899,297.000,522.000,0,0,57,400,0.000,0.508,1.078,0.785,never
2,3.665,458.128,181.749,451.000,192.000,0,0,57,400,0.000,0.508,0.936,0.572,play
3,4.918,198.850,480.972,194.000,486.000,0,0,57,400,0.000,0.508,0.932,1.532,paper
4,6.523,531.926,266.917,529.000,277.000,0,0,57,400,0.000,0.590,0.977,0.907,lairs
5,8.083,152.036,378.463,163.000,373.000,0,0,57,400,0.000,0.569,1.387,1.014,dares
6,9.276,547.964,378.463,547.000,371.000,0,0,57,400,0.000,0.407,0.870,0.932,table
7,10.529,168.074,266.917,177.000,274.000,0,0,57,400,0.000,0.427,0.891,0.514,lamp
8,11.698,501.150,480.972,493.000,468.000,0,0,57,400,0.000,0.529,1.056,2.788,garbage
9,12.912,241.872,181.749,257.000,191.000,0,0,57,400,0.000,0.529,1.038,1.252,scanner
10,14.249,406.347,541.899,395.000,527.000,0,0,57,400,0.000,0.489,0.870,0.592,owed
11,15.521,350.000,150.000,351.000,161.000,0,0,57,400,0.000,0.589
