x350y340,A
,2014-07-30

Target#, time, targetX, targetY, clicked, keyPressed, condition (W&D), errorMargin
0,0.856168985367,350.0,150.0,0,0,133,400,0
1,1.44769310951,324.933353287,548.422940263,0,0,133,400,0
2,1.99666714668,399.737977433,156.283367774,0,0,133,400,0
3,2.60429096222,276.375089463,535.955297178,0,0,133,400,0
4,3.14106011391,446.35073482,174.738663991,0,0,133,400,0
5,3.76318216324,232.442949542,511.803398875,0,0,133,400,0
6,4.27206611633,486.909421186,204.206274516,0,0,133,400,0
7,4.92228412628,195.897351445,477.48479795,0,0,133,400,0
8,5.69584298134,518.8655851,242.834641004,0,0,133,400,0
9,6.35809516907,169.034589507,435.155858313,0,0,133,400,0
10,7.00702309608,540.211303259,288.196601125,0,0,133,400,0
11,7.69431495667,153.542549854,387.476262917,0,0,133,400,0
12,8.22361207008,549.605345686,337.441896094,0,0,133,400,0
13,8.69934105873,150.394654314,337.441896094,0,0,133,400,0
14,9.17958903313,546.457450146,387.476262917,0,0,133,400,0
15,9.70165395737,159.788696741,288.196601125,0,0,133,400,0
16,10.1822049618,530.965410493,435.155858313,0,0,133,400,0
17,10.6639800072,181.1344149,242.834641004,0,0,133,400,0
18,11.1893031597,504.102648555,477.48479795,0,0,133,400,0
19,11.7947750092,213.090578814,204.206274516,0,0,133,400,0
20,12.3652369976,467.557050458,511.803398875,0,0,133,400,0
21,12.8926231861,253.64926518,174.738663991,0,0,133,400,0
22,14.3904471397,423.624910537,535.955297178,1,0,133,400,4.48915531535
23,14.8504970074,300.262022567,156.283367774,0,0,133,400,0
24,15.4794130325,375.066646713,548.422940263,0,0,133,400,0
25,15.9682831764,350.0,150.0,0,0,133,400,0
