x300y340,B
,2014-07-30

Target#, time, targetX, targetY, clicked, keyPressed, condition (W&D), errorMargin
0,0.846810102463,350.0,150.0,0,0,58,400,0
1,1.80854701996,324.933353287,548.422940263,0,0,58,400,0
2,2.60182213783,399.737977433,156.283367774,0,0,58,400,0
3,3.51956796646,276.375089463,535.955297178,0,0,58,400,0
4,4.37226915359,446.35073482,174.738663991,0,0,58,400,0
5,5.37166309357,232.442949542,511.803398875,0,0,58,400,0
6,6.21446895599,486.909421186,204.206274516,0,0,58,400,0
7,7.40313696861,195.897351445,477.48479795,1,0,58,400,4.68342497545
8,8.4592730999,518.8655851,242.834641004,0,0,58,400,0
9,9.29854607582,169.034589507,435.155858313,0,0,58,400,0
10,10.2497260571,540.211303259,288.196601125,1,0,58,400,0
11,11.0095791817,153.542549854,387.476262917,0,0,58,400,19.2446000604
12,11.809538126,549.605345686,337.441896094,0,0,58,400,0
13,12.4901220798,150.394654314,337.441896094,0,0,58,400,0
14,13.8550469875,546.457450146,387.476262917,1,0,58,400,0
15,14.7465951443,159.788696741,288.196601125,0,0,58,400,0
16,15.6169490814,530.965410493,435.155858313,0,0,58,400,265.831448812
17,16.6412000656,181.1344149,242.834641004,0,0,58,400,1.68917127544
18,18.5841040611,504.102648555,477.48479795,1,0,58,400,0
19,19.4401390553,213.090578814,204.206274516,0,0,58,400,0
20,21.4492051601,467.557050458,511.803398875,1,0,58,400,0
21,23.5945420265,253.64926518,174.738663991,1,0,58,400,0
22,25.6424300671,423.624910537,535.955297178,1,0,58,400,60.6556903939
23,26.7319700718,300.262022567,156.283367774,0,0,58,400,5.52776737833
24,29.4682841301,375.066646713,548.422940263,1,0,58,400,0
25,31.2156629562,350.0,150.0,1,0,58,400,0
