kola,A,2014-08-04

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, condition (W&D), errorMargin
0,6.54074001312,350.0,150.0,343,129,0,0,133,400,0
1,8.81940197945,324.933353287,548.422940263,324,507,0,0,133,400,0
2,14.0512650013,399.737977433,156.283367774,431,139,0,0,133,400,0
3,14.7209689617,276.375089463,535.955297178,255,489,0,0,133,400,0
4,15.1791288853,446.35073482,174.738663991,429,234,0,0,133,400,0
5,15.7711210251,232.442949542,511.803398875,254,482,0,0,133,400,0
6,16.3586599827,486.909421186,204.206274516,461,247,0,0,133,400,0
7,16.9780759811,195.897351445,477.48479795,242,447,0,0,133,400,0
8,17.5819990635,518.8655851,242.834641004,493,274,0,0,133,400,0
9,18.2558820248,169.034589507,435.155858313,223,411,0,0,133,400,0
10,18.8764879704,540.211303259,288.196601125,510,306,0,0,133,400,0
11,19.4749150276,153.542549854,387.476262917,202,391,0,0,133,400,0
12,20.0147268772,549.605345686,337.441896094,510,336,0,0,133,400,0
13,20.5392329693,150.394654314,337.441896094,188,292,0,0,133,400,0
14,21.2485449314,546.457450146,387.476262917,515,366,0,0,133,400,0
15,21.7449150085,159.788696741,288.196601125,127,311,0,0,133,400,0
16,22.5448050499,530.965410493,435.155858313,489,421,0,0,133,400,0
17,23.1861410141,181.1344149,242.834641004,216,256,0,0,133,400,0
18,23.7505578995,504.102648555,477.48479795,555,479,0,0,133,400,0
19,25.0810759068,213.090578814,204.206274516,243,245,0,0,133,400,0
20,25.8009729385,467.557050458,511.803398875,455,478,0,0,133,400,0
21,26.3053379059,253.64926518,174.738663991,277,175,0,0,133,400,0
22,26.9596779346,423.624910537,535.955297178,416,487,0,0,133,400,0
23,27.5005130768,300.262022567,156.283367774,277,117,0,0,133,400,0
24,28.2313630581,375.066646713,548.422940263,368,511,0,0,133,400,0
25,28.9672451019,350.0,150.0,341,199,0,0,133,400,0
