Filename, TP, IP, Lin1, Lin2, ErrorRate
JulianX250Y150jl,4.9308,3.3747,-0.1855,0.2963,0.1733
JulianX250Y200jl,5.8306,2.9097,-0.5572,0.3437,0.1467
JulianX250Y250jl,5.3562,2.9177,-0.4524,0.3427,0.2400
julianX300Y150jl,5.1741,3.4140,-0.1858,0.2929,0.2667
JulianX300Y200jl,5.4366,2.8356,-0.4881,0.3527,0.1867
JulianX300Y300jl,4.6690,2.4492,-0.5861,0.4083,0.1200
Mouse,7.3019,5.1844,-0.1330,0.1929,0.0400
Trackpad,5.3855,4.7944,0.0546,0.2086,0.0533
StevenX250Y150jl,4.5717,3.4827,-0.0785,0.2871,0.1600
StevenX250Y200jl,4.7709,3.0238,-0.3070,0.3307,0.1867
StevenX250Y250jl,5.0749,2.7180,-0.5197,0.3679,0.1867
StevenX250Y300jl,4.6381,3.1333,-0.2255,0.3192,0.2000
StevenX250Y350jl,4.7660,4.2204,0.0671,0.2369,0.2000
StevenX300Y150jl,4.6644,2.0630,-0.9180,0.4847,0.1200
StevenX300Y200jl,5.7095,3.2165,-0.3559,0.3109,0.2400
StevenX300Y250jl,5.5517,4.6152,0.0092,0.2167,0.2267
StevenX300Y300jl,6.0939,3.9953,-0.1841,0.2503,0.1600
StevenX300Y350jl,5.0952,2.6944,-0.5423,0.3711,0.1333
StevenX350Y150jl,4.7718,2.5432,-0.5435,0.3932,0.2000
StevenX350Y200jl,4.3188,2.0365,-0.7582,0.4910,0.1600
StevenX350Y250jl,4.6200,2.9651,-0.2985,0.3373,0.1067
StevenX350Y300jl,4.9769,3.9322,-0.0592,0.2543,0.1333
StevenX350Y350jl,5.5687,3.5801,-0.2449,0.2793,0.1333
Stevent0k10,5.4121,4.6772,0.0305,0.2138,0.1600
Stevent3k7,4.2204,3.3786,-0.0638,0.2960,0.0800
Stevent3k71,5.8046,4.7089,-0.0010,0.2124,0.1600
Stevent5k5,5.7062,3.5056,-0.2649,0.2853,0.1600
Stevent7k3,6.9215,4.0152,-0.2755,0.2491,0.1733
Mouse,8.6268,5.7176,-0.1444,0.1749,0.0933
SCF1,7.9931,8.4604,0.1165,0.1182,0.1067
scf10,7.1812,5.0739,-0.1015,0.1971,0.1467
scf2,7.7494,5.9208,-0.0392,0.1689,0.1067
scf3,7.0978,6.5509,0.0609,0.1527,0.1067
scf5,8.6122,6.1506,-0.0848,0.1626,0.1333
scf7,8.0336,7.4157,0.0539,0.1348,0.1333
SCFatigue05,7.6519,7.0887,0.0557,0.1411,0.0933
Trackpad,5.4472,4.4674,-0.0170,0.2238,0.1333
No1,10.2171,6.0515,-0.1789,0.1652,0.0800
No10,9.7525,4.9680,-0.2598,0.2013,0.1600
No2,8.7951,4.9703,-0.2472,0.2012,0.0933
No3,8.3459,5.3805,-0.1553,0.1859,0.0800
No4,9.3696,6.2985,-0.1097,0.1588,0.0933
No5,9.7923,5.3579,-0.2354,0.1866,0.0800
No6,10.0801,5.0007,-0.3146,0.2000,0.1600
No7,9.6227,5.6996,-0.1853,0.1755,0.1333
No8,9.6732,5.5613,-0.1958,0.1798,0.1200
No9,10.3524,5.6060,-0.2175,0.1784,0.1333
X250Y150,3.8359,1.5011,-1.1248,0.6662,0.3733
X250Y200,3.6241,1.7605,-0.8793,0.5680,0.2267
X250Y250,3.5656,2.6669,-0.1695,0.3750,0.2000
X250Y300,3.4354,2.3165,-0.3227,0.4317,0.1333
X250Y350,3.6372,2.3286,-0.4038,0.4294,0.1867
X350Y150,2.9649,2.2035,-0.1124,0.4538,0.2133
X350Y250,3.6437,1.8829,-0.8019,0.5311,0.1200
X350Y350,3.5867,2.1569,-0.4940,0.4636,0.1200
ZhenX200Y150,4.2936,3.0997,-0.0927,0.3226,0.2667
ZhenX200Y200,4.7469,2.1636,-0.8171,0.4622,0.2400
ZhenX200Y250,3.8719,2.3417,-0.4411,0.4270,0.1200
ZhenX250Y150,4.9065,2.7006,-0.4642,0.3703,0.2533
ZhenX250Y150JL,5.5538,3.1173,-0.4179,0.3208,0.1200
ZhenX250Y200,4.1735,2.5555,-0.3879,0.3913,0.1333
ZhenX250Y200JL,5.0305,3.6132,-0.1425,0.2768,0.2000
ZhenX250Y250,4.1553,3.3257,-0.0454,0.3007,0.1200
ZhenX250Y250JL,4.9018,3.0726,-0.2863,0.3255,0.2533
Mouse,9.0148,5.4710,-0.2053,0.1828,0.0800
x150y150,4.4394,2.8854,-0.2551,0.3466,0.2000
x150y200,4.7840,2.5674,-0.5573,0.3895,0.2133
x150y250,4.5741,2.5122,-0.4862,0.3981,0.2133
x200y150,4.6379,1.9620,-0.9075,0.5097,0.2000
x200y200,4.3568,2.6569,-0.3468,0.3764,0.1067
x200y250,4.3277,1.7846,-1.1195,0.5604,0.1200
x200y300,4.2510,2.3782,-0.5327,0.4205,0.1200
x250y150,4.6752,2.6908,-0.3819,0.3716,0.1600
x250y200,4.7014,3.0245,-0.2508,0.3306,0.1467
x250y250,4.4837,2.2593,-0.6086,0.4426,0.2267
x300y150,5.1399,2.1699,-0.8551,0.4609,0.1467
x300y200,4.9513,2.8146,-0.4235,0.3553,0.1333
x300y250,4.8483,2.9355,-0.3675,0.3407,0.1467
x350y150,4.5056,2.3601,-0.5830,0.4237,0.0800
x350y200,4.8541,3.2951,-0.1991,0.3035,0.1067
x350y250,5.1517,2.9922,-0.3919,0.3342,0.0933
trackpad,5.0722,5.1240,0.1310,0.1952,0.0933
ZhenX200Y200T0K10,4.2049,2.1469,-0.6153,0.4658,0.1867
ZhenX200Y200T10K0,4.2977,2.3034,-0.5165,0.4341,0.2667
ZhenX200Y200T3K7,4.3344,2.8309,-0.2747,0.3532,0.1067
ZhenX200Y200T5K5,4.6164,1.9043,-1.0668,0.5251,0.1333
ZhenX200Y200T7K3,4.2461,2.3943,-0.4338,0.4177,0.1600
ZhenX200Y250T0K10,4.6517,2.1763,-0.7255,0.4595,0.2933
ZhenX200Y250T10K0,4.5321,2.9457,-0.2807,0.3395,0.1467
ZhenX200Y250T3K7,4.6867,2.3432,-0.5972,0.4268,0.2533
ZhenX200Y250T5K5,4.3929,2.2145,-0.6894,0.4516,0.1067
ZhenX200Y250T7K3,4.4003,3.2231,-0.1579,0.3103,0.1333
