Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe
/julianBorrar,3.7248,4.1322,-0.0811,0.2420,0.0533,0.0133,1.1401,4.3321 
Julian-data/fingers/JulianX300Y200jl,5.4366,2.8356,-0.4881,0.3527,0.1200,0.0267,0.8003,4.4307 
Julian-data/fingers/JulianX250Y150jl,3.2875,3.3747,-0.1855,0.2963,0.1333,0.0000,1.3029,4.3415 
Julian-data/fingers/JulianX300Y300jl,4.3094,2.4492,-0.5861,0.4083,0.0800,0.0133,1.0306,4.4243 
Julian-data/fingers/JulianX250Y250jl,5.3562,2.9177,-0.4524,0.3427,0.1600,0.0533,0.8377,4.5820 
Julian-data/fingers/JulianX250Y200jl,5.8306,2.9097,-0.5572,0.3437,0.0800,0.0267,0.7749,4.5731 
Julian-data/fingers/julianX300Y150jl,3.2609,3.4140,-0.1858,0.2929,0.2000,0.0400,1.3918,4.6522 
Julian-data/Mouse,6.6220,5.1844,-0.1330,0.1929,0.0000,0.0000,0.6785,4.5359 
Julian-data/Trackpad,5.3855,4.7944,0.0546,0.2086,0.0133,0.0000,0.8282,4.5624 
Steven-data/Mouse,5.6547,5.7176,-0.1444,0.1749,0.0400,0.0133,0.7596,4.3770 
Steven-data/Fingers/StevenX300Y350jl,3.1536,2.6944,-0.5423,0.3711,0.0800,0.0133,1.4028,4.4404 
Steven-data/Fingers/StevenX250Y350jl,3.3857,4.2204,0.0671,0.2369,0.1733,0.0133,1.2388,4.2842 
Steven-data/Fingers/StevenX250Y200jl,3.7114,3.0238,-0.3070,0.3307,0.1333,0.0267,1.1823,4.4464 
Steven-data/Fingers/StevenX350Y150jl,3.1104,2.5432,-0.5435,0.3932,0.1333,0.0267,1.3593,4.2151 
Steven-data/Fingers/StevenX300Y150jl,3.6907,2.0630,-0.9180,0.4847,0.0533,0.0400,1.2528,4.5562 
Steven-data/Fingers/StevenX350Y200jl,3.7653,2.0365,-0.7582,0.4910,0.1067,0.0133,1.1370,4.2483 
Steven-data/Fingers/StevenX250Y150jl,3.1255,3.4827,-0.0785,0.2871,0.1067,0.0133,1.3530,4.3139 
Steven-data/Fingers/StevenX350Y350jl,4.5524,3.5801,-0.2449,0.2793,0.0800,0.0267,0.9779,4.4768 
Steven-data/Fingers/StevenX350Y250jl,3.4472,2.9651,-0.2985,0.3373,0.0533,0.0267,1.2751,4.4494 
Steven-data/Fingers/StevenX250Y300jl,3.2673,3.1333,-0.2255,0.3192,0.1733,0.0000,1.3031,4.3103 
Steven-data/Fingers/StevenX300Y300jl,4.6859,3.9953,-0.1841,0.2503,0.1200,0.0133,0.9350,4.4434 
Steven-data/Fingers/StevenX300Y250jl,5.5517,4.6152,0.0092,0.2167,0.1867,0.0133,0.7708,4.3767 
Steven-data/Fingers/StevenX250Y250jl,4.8058,2.7180,-0.5197,0.3679,0.1333,0.0133,0.8920,4.3660 
Steven-data/Fingers/StevenX350Y300jl,3.3957,3.9322,-0.0592,0.2543,0.0667,0.0267,1.2379,4.2972 
Steven-data/Fingers/StevenX300Y200jl,3.7303,3.2165,-0.3559,0.3109,0.1467,0.0533,1.1893,4.4562 
Steven-data/Trackpad,4.9846,4.4674,-0.0170,0.2238,0.0933,0.0000,0.8686,4.3974 
Steven-data/KvI/Stevent7k3,6.0332,4.0152,-0.2755,0.2491,0.1333,0.0000,0.7253,4.4425 
Steven-data/KvI/Stevent3k7,3.5434,3.3786,-0.0638,0.2960,0.0133,0.0267,1.2954,4.6477 
Steven-data/KvI/Stevent5k5,5.0216,3.5056,-0.2649,0.2853,0.1200,0.0000,0.8793,4.5452 
Steven-data/KvI/Stevent3k71,4.4602,4.7089,-0.0010,0.2124,0.1067,0.0133,0.9924,4.5161 
Steven-data/KvI/Stevent0k10,5.0797,4.6772,0.0305,0.2138,0.1200,0.0000,0.8407,4.3594 
Steven-data/Fatigue/StevenFatigue1,7.8011,6.0958,-0.1058,0.1640,0.0267,0.0000,0.5636,4.4499 
Steven-data/Fatigue/StevenFatigue9,7.1763,9.1276,0.1621,0.1096,0.1333,0.0533,0.5823,4.1847 
Steven-data/Fatigue/StevenFatigue4,6.1174,5.6501,-0.0244,0.1770,0.0533,0.0133,0.7086,4.3567 
Steven-data/Fatigue/StevenFatigue2,4.9967,5.4593,-0.0706,0.1832,0.0533,0.0267,0.8822,4.4886 
Steven-data/Fatigue/StevenFatigue6,6.5314,4.6285,-0.1668,0.2161,0.0800,0.0000,0.6357,4.2506 
Steven-data/Fatigue/StevenFatigue81,7.1603,6.6052,0.0560,0.1514,0.1200,0.0133,0.5891,4.3246 
Steven-data/Fatigue/StevenFatigue10,5.0383,10.4145,0.3293,0.0960,0.1733,0.0000,0.8446,4.3593 
Steven-data/Fatigue/StevenFatigue3,5.6816,9.3456,0.2095,0.1070,0.0533,0.0133,0.7619,4.4104 
Steven-data/Fatigue/StevenFatigue7,5.4010,5.8420,-0.0457,0.1712,0.0400,0.0000,0.8194,4.4913 
Steven-data/Fatigue/StevenFatigue5,6.0181,7.7529,0.2230,0.1290,0.0400,0.0133,0.7272,4.4587 
Steven-data/Steven-Fatigue/scf5,7.8228,6.1506,-0.0848,0.1626,0.0800,0.0133,0.5637,4.4641 
Steven-data/Steven-Fatigue/SCF1,7.9931,8.4604,0.1165,0.1182,0.0400,0.0267,0.5510,4.4916 
Steven-data/Steven-Fatigue/scf10,4.6600,5.0739,-0.1015,0.1971,0.0667,0.0400,0.8852,4.2147 
Steven-data/Steven-Fatigue/scf2,5.4107,5.9208,-0.0392,0.1689,0.0533,0.0133,0.7915,4.3667 
Steven-data/Steven-Fatigue/scf3,5.0954,6.5509,0.0609,0.1527,0.0533,0.0133,0.8089,4.2062 
Steven-data/Steven-Fatigue/SCFatigue05,5.3549,7.0887,0.0557,0.1411,0.0400,0.0133,0.8112,4.4592 
Steven-data/Steven-Fatigue/scf7,7.2545,7.4157,0.0539,0.1348,0.0933,0.0000,0.5915,4.3757 
Zhen-data/Mouse,8.5033,5.4710,-0.2053,0.1828,0.0400,0.0000,0.5095,4.4074 
Zhen-data/TvK/ZhenX200Y250T10K0,4.0638,2.9457,-0.2807,0.3395,0.0933,0.0133,1.0509,4.3634 
Zhen-data/TvK/ZhenX200Y250T5K5,3.8851,2.2145,-0.6894,0.4516,0.0533,0.0133,1.1337,4.4963 
Zhen-data/TvK/ZhenX200Y250T7K3,4.4003,3.2231,-0.1579,0.3103,0.0667,0.0267,1.0253,4.6127 
Zhen-data/TvK/ZhenX200Y200T3K7,2.7412,2.8309,-0.2747,0.3532,0.0667,0.0000,1.5438,4.3341 
Zhen-data/TvK/ZhenX200Y250T3K7,3.7957,2.3432,-0.5972,0.4268,0.2133,0.0000,1.1544,4.4428 
Zhen-data/TvK/ZhenX200Y250T0K10,4.2079,2.1763,-0.7255,0.4595,0.2133,0.0533,1.0627,4.5788 
Zhen-data/TvK/ZhenX200Y200T5K5,4.0597,1.9043,-1.0668,0.5251,0.0800,0.0133,1.1048,4.5353 
Zhen-data/TvK/ZhenX200Y200T7K3,4.2461,2.3943,-0.4338,0.4177,0.1067,0.0133,0.9449,4.1097 
Zhen-data/TvK/ZhenX200Y200T10K0,3.2997,2.3034,-0.5165,0.4341,0.1867,0.0533,1.2517,4.1661 
Zhen-data/TvK/ZhenX200Y200T0K10,2.6142,2.1469,-0.6153,0.4658,0.1467,0.0133,1.6383,4.2874 
Zhen-data/Fingers/ZhenX200Y250,2.5195,2.3417,-0.4411,0.4270,0.0533,0.0400,1.6694,4.2665 
Zhen-data/Fingers/ZhenX250Y200,3.8968,2.5555,-0.3879,0.3913,0.0933,0.0133,1.0940,4.3723 
Zhen-data/Fingers/X250Y250,3.4384,2.6669,-0.1695,0.3750,0.1467,0.0267,1.2639,4.4277 
Zhen-data/Fingers/ZhenX250Y150JL,5.1794,3.1173,-0.4179,0.3208,0.0800,0.0133,0.8491,4.4800 
Zhen-data/Fingers/X350Y150,2.2173,2.2035,-0.1124,0.4538,0.1467,0.0400,1.8416,4.1662 
Zhen-data/Fingers/X250Y150,2.1239,1.5011,-1.1248,0.6662,0.3333,0.0000,2.0087,4.2111 
Zhen-data/Fingers/ZhenX250Y150,4.4312,2.7006,-0.4642,0.3703,0.1733,0.0400,1.0033,4.4546 
Zhen-data/Fingers/X350Y250,3.3476,1.8829,-0.8019,0.5311,0.0533,0.0267,1.2822,4.3639 
Zhen-data/Fingers/X250Y300,2.2739,2.3165,-0.3227,0.4317,0.0933,0.0000,1.8835,4.3683 
Zhen-data/Fingers/ZhenX250Y250,2.7741,3.3257,-0.0454,0.3007,0.0667,0.0133,1.5544,4.4237 
Zhen-data/Fingers/X250Y350,3.3164,2.3286,-0.4038,0.4294,0.1067,0.0533,1.3433,4.4973 
Zhen-data/Fingers/ZhenX200Y150,3.7518,3.0997,-0.0927,0.3226,0.2133,0.0267,1.1854,4.5224 
Zhen-data/Fingers/X350Y350,3.2052,2.1569,-0.4940,0.4636,0.0800,0.0133,1.3127,4.2505 
Zhen-data/Fingers/ZhenX250Y200JL,4.5752,3.6132,-0.1425,0.2768,0.1200,0.0400,0.9389,4.3716 
Zhen-data/Fingers/ZhenX250Y250JL,3.0678,3.0726,-0.2863,0.3255,0.1733,0.0400,1.3778,4.3263 
Zhen-data/Fingers/ZhenX200Y200,4.7469,2.1636,-0.8171,0.4622,0.2000,0.0133,0.9349,4.4895 
Zhen-data/Fingers/X250Y200,3.1277,1.7605,-0.8793,0.5680,0.2000,0.0267,1.3800,4.3664 
