Filename, TP, IP, Lin1, Lin2, ErrorRate, meanMovetime, meanIDe
x200y250,2.6237,1.7846,-1.1195,0.5604,0.1200,1.7005,4.4376,
x250y200,4.7014,3.0245,-0.2508,0.3306,0.1467,0.9083,4.3831,
x200y200,3.4374,2.6569,-0.3468,0.3764,0.1067,1.2422,4.3118,
No3,3.0688,-0.3246,20.4896,-3.0804,0.0933,2.0049,6.0880,
No6,6.8476,5.8534,-0.1378,0.1708,0.1067,0.4815,3.2973,
No9,8.3620,4.5554,-0.4228,0.2195,0.1733,0.6708,5.5848,
No7,10.3984,5.8359,-0.1963,0.1714,0.1067,0.4220,4.4773,
No8,8.2570,7.6882,-0.0354,0.1301,0.1333,0.4270,3.5369,
No1,6.6962,6.0876,-0.1286,0.1643,0.1333,0.7510,5.0863,
No2,8.7706,10.5082,0.0813,0.0952,0.0533,0.3778,3.3077,
No5,6.0148,3.5078,-0.7043,0.2851,0.0800,0.7921,4.7506,
No10,6.3953,5.3511,-0.1869,0.1869,0.1067,0.7818,5.0762,
No4,7.1737,6.5008,-0.0852,0.1538,0.1333,0.4326,3.1194,
