Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe, participantID, device, trial#
11-data/Mouse/11p11,5.9537,2.3162,-1.2900,0.4317,0.0267,0.0133,0.9149,5.0991,11,Mouse,1 
11-data/Mouse/11p14,5.9624,4.9404,-0.1770,0.2024,0.0400,0.0000,0.9336,5.4751,11,Mouse,4 
11-data/FR/11p23,3.7855,0.9976,-3.0768,1.0024,0.0800,0.0133,2.0175,5.0911,11,Fingers relative,3 
11-data/FR/11p22,2.8021,1.1590,-2.2787,0.8628,0.0133,0.0267,1.7829,4.7194,11,Fingers relative,2 
11-data/FR/11p24,2.6339,1.1569,-2.6857,0.8644,0.1333,0.0533,2.2676,5.7302,11,Fingers relative,4 
11-data/FR/11p21,2.6074,0.6865,-5.2338,1.4567,0.1733,0.0133,2.5898,5.3702,11,Fingers relative,1 
11-data/Trackpad/11p34,3.3203,7.3886,0.8454,0.1353,0.0400,0.0267,1.5040,4.8748,11,Trackpad,4 
11-data/Trackpad/11p31,3.7047,3.5090,-0.0602,0.2850,0.0667,0.0000,1.4161,5.1590,11,Trackpad,1 
11-data/Trackpad/11p33,4.2921,3.8238,-0.1368,0.2615,0.0133,0.0133,1.2210,5.1968,11,Trackpad,3 
11-data/Trackpad/11p32,4.2627,3.7708,-0.1756,0.2652,0.0400,0.0000,1.3599,5.7875,11,Trackpad,2 
11-data/FA/11p41,3.5529,2.2159,-0.7741,0.4513,0.0933,0.0267,1.4581,4.9334,11,Fingers absolute,1 
11-data/FA/11p43,3.6072,5.6994,0.5490,0.1755,0.1733,0.0533,1.4856,5.3588,11,Fingers absolute,3 
11-data/FA/11p42,3.9443,2.2125,-0.9233,0.4520,0.0667,0.0133,1.2861,4.8769,11,Fingers absolute,2 
11-data/FA/11p44,4.0196,3.4644,-0.1845,0.2886,0.1200,0.0133,1.1844,4.7477,11,Fingers absolute,4 
