x400y250,C
,2014-07-30

Target#, time, targetX, targetY, clicked, keyPressed, condition (W&D), errorMargin
0,2.21984410286,350.0,50.0,1,1,19,600,0.433981132057
1,3.70872497559,312.400029931,647.634410394,1,1,19,600,0
2,5.02256512642,424.606966149,59.4250516614,0,0,19,600,583.704507686
3,6.40790009499,239.562634195,628.932945766,1,0,19,600,0
4,7.90492415428,494.526102231,87.1079959868,1,0,19,600,0
5,9.37289404869,173.664424312,592.705098312,1,0,19,600,22.6656504705
6,10.8667500019,555.364131779,131.309411774,0,0,19,600,0
7,13.561715126,118.846027167,541.227196925,1,0,19,600,3.00345513591
8,15.3621840477,603.298377651,189.251961506,0,0,19,600,0
9,19.7904901505,78.5518842602,477.73378747,1,0,19,600,25.7595452293
10,23.0579400063,635.316954889,257.294901688,0,0,19,600,24.9553387525
11,26.095072031,55.3138247814,406.214394376,1,1,19,600,0
12,29.4956250191,649.408018528,331.162844141,1,0,19,600,0
13,33.0967111588,50.5919814715,331.162844141,1,0,19,600,4.44304423036
14,34.6496341228,644.686175219,406.214394376,1,0,19,600,0
15,36.3562409878,64.6830451115,257.294901688,1,0,19,600,0
16,37.9851920605,621.44811574,477.73378747,0,0,19,600,586.08352547
17,40.3384101391,96.7016223494,189.251961506,0,0,19,600,0.774633916744
18,42.4083139896,581.153972833,541.227196925,0,0,19,600,0
19,44.2844591141,144.635868221,131.309411774,1,0,19,600,0
20,45.6604361534,526.335575688,592.705098312,0,0,19,600,584.990349965
21,47.5070610046,205.473897769,87.1079959868,0,0,19,600,0.884128031752
22,49.7599210739,460.437365805,628.932945766,1,0,19,600,0
23,51.9497261047,275.393033851,59.4250516614,1,0,19,600,103.304121528
24,55.5440042019,387.599970069,647.634410394,1,0,19,600,0
25,58.3884952068,350.0,50.0,1,0,19,600,133.791064955
