TestTwo,A,2014-08-27

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime
0,0.849,350.000,150.000,361.000,191.000,0,0,133,400,0.000,0.320,1.024,3.207
1,7.270,293.653,541.899,377.000,447.000,1,0,133,400,60.303,0.624,0.611,0.624
2,9.374,458.128,181.749,441.000,213.000,0,0,133,400,0.000,0.314,0.531,0.848
3,12.794,198.850,480.972,425.000,230.000,1,1,133,400,271.833,0.568,0.582,0.552
4,15.248,531.926,266.917,487.000,281.000,0,1,133,400,0.000,0.692,0.833,3.760
5,21.023,152.036,378.463,175.000,369.000,0,0,133,400,0.000,0.574,0.602,1.360
6,24.537,547.964,378.463,175.000,369.000,1,1,133,400,307.084,0.716,0.584,1.088
7,27.478,168.074,266.917,204.000,303.000,0,0,133,400,0.000,0.434,0.571,1.032
8,30.466,501.150,480.972,411.000,427.000,1,1,133,400,39.071,0.244,0.799,0.352
9,32.635,241.872,181.749,349.000,317.000,1,0,133,400,106.538,0.736,0.791,1.416
10,35.412,406.347,541.899,396.000,537.000,0,0,133,400,0.000,0.435,0.566,1.504
11,38.588,350.000,150.000,404.000,514.000,1,0,133,400,301.984,0.296
