TestTwo,C,2014-08-27

Target#, time, targetX, targetY, clickX, clickY, clicked, keyPressed, width,distance, errorMargin, Homing Time1, Keyboard Homingtime, Typingtime
0,1.175,350.000,50.000,352.000,51.000,0,0,19,600,0.000,0.420,0.641,1.016
1,4.052,265.480,637.848,267.000,633.000,0,0,19,600,0.000,0.362,0.652,1.151
2,7.313,512.192,97.624,509.000,88.000,1,0,19,600,1.140,0.239,0.687,2.480
3,11.693,123.275,546.458,121.000,545.000,0,0,19,600,0.000,0.269,0.771,5.104
4,18.738,622.890,225.375,625.000,221.000,0,0,19,600,0.000,0.337,0.622,1.312
5,21.780,53.054,392.694,58.000,392.000,0,0,19,600,0.000,0.337,0.620,0.832
6,24.884,646.946,392.694,617.000,346.000,1,0,19,600,46.472,0.271,0.605,3.704
7,30.658,77.110,225.375,78.000,224.000,0,0,19,600,0.000,0.551,0.631,1.504
8,33.960,576.725,546.458,575.000,546.000,0,0,19,600,0.000,0.281,0.601,0.472
9,36.012,187.808,97.624,188.000,103.000,0,0,19,600,0.000,0.240,0.701,0.904
10,38.825,434.520,637.848,433.000,634.000,0,0,19,600,0.000,0.194,0.593,2.512
11,42.924,350.000,50.000,352.000,47.000,0,0,19,600,0.000,0.216
